2017-08-04 21:53:45  {"productCode":"QUICK_WAP_PAY","body":"购买测试商品0.01元","subject":"测试","out_trade_no":"201784215340776","total_amount":"0.01","timeout_express":"1m"}
2017-08-04 22:56:41  response: '<form id=\'alipaysubmit\' name=\'alipaysubmit\' action=\'https://openapi.alipay.com/gateway.do?charset=UTF-8\' method=\'POST\'><input type=\'hidden\' name=\'biz_content\' value=\'{"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858601337917","total_amount":"100","timeout_express":"1m"}\'/><input type=\'hidden\' name=\'app_id\' value=\'2017022705923867\'/><input type=\'hidden\' name=\'version\' value=\'1.0\'/><input type=\'hidden\' name=\'format\' value=\'json\'/><input type=\'hidden\' name=\'sign_type\' value=\'RSA2\'/><input type=\'hidden\' name=\'method\' value=\'alipay.trade.wap.pay\'/><input type=\'hidden\' name=\'timestamp\' value=\'2017-08-04 22:56:41\'/><input type=\'hidden\' name=\'alipay_sdk\' value=\'alipay-sdk-php-20161101\'/><input type=\'hidden\' name=\'notify_url\' value=\'http://baidu.com/alipay.trade.wap.pay-PHP-UTF-8/notify_url.php\'/><input type=\'hidden\' name=\'return_url\' value=\'http://mitsein.com/alipay.trade.wap.pay-PHP-UTF-8/return_url.php\'/><input type=\'hidden\' name=\'charset\' value=\'UTF-8\'/><input type=\'hidden\' name=\'sign\' value=\'BrjMpjHM8YD4lPhfALSoFNTsDbeBTMhcvypTAyjLlACBz65HGcYDyI9w1eu2bChYHRyNKxc+W2p8E/b9uFcKlQoTtUoOvnBEWam9XdaTxhtP/P2t4XmEqp1byu4RaG62XUMeb6KBDh0BCvGCcN1G3acx/Pa0A8x10hjKGd27JwBGVuhJLevQD0maAUHBd1m1Pqse7ZheLnHD6mBaqW+0UinT+naeMVTHK2x+mWE5nuqUMV2lczFNX6jBYbOuyvpl/1swDVa1xka8St9ZUgpOGOt2Yaq/mrRendALqNexJ1pw2hmsbNVXIafWd6heOA6uE303s4fuEQigCzrFyGmySQ==\'/><input type=\'submit\' value=\'ok\' style=\'display:none;\'\'></form><script>document.forms[\'alipaysubmit\'].submit();</script>'
2017-08-04 22:56:55  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858615600097","total_amount":"100","timeout_express":"1m"}
2017-08-04 22:56:55  response: '<form id=\'alipaysubmit\' name=\'alipaysubmit\' action=\'https://openapi.alipay.com/gateway.do?charset=UTF-8\' method=\'POST\'><input type=\'hidden\' name=\'biz_content\' value=\'{"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858615600097","total_amount":"100","timeout_express":"1m"}\'/><input type=\'hidden\' name=\'app_id\' value=\'2017022705923867\'/><input type=\'hidden\' name=\'version\' value=\'1.0\'/><input type=\'hidden\' name=\'format\' value=\'json\'/><input type=\'hidden\' name=\'sign_type\' value=\'RSA2\'/><input type=\'hidden\' name=\'method\' value=\'alipay.trade.wap.pay\'/><input type=\'hidden\' name=\'timestamp\' value=\'2017-08-04 22:56:55\'/><input type=\'hidden\' name=\'alipay_sdk\' value=\'alipay-sdk-php-20161101\'/><input type=\'hidden\' name=\'notify_url\' value=\'http://baidu.com/alipay.trade.wap.pay-PHP-UTF-8/notify_url.php\'/><input type=\'hidden\' name=\'return_url\' value=\'http://mitsein.com/alipay.trade.wap.pay-PHP-UTF-8/return_url.php\'/><input type=\'hidden\' name=\'charset\' value=\'UTF-8\'/><input type=\'hidden\' name=\'sign\' value=\'FNE9oUJRBDxTC+/pJbhDYu1J8liD3rSw6+8ZHbCOqkdoE2CgNE0RalKs1A54oSzYUX/+7mZESdVuBI/IxUa/BDCaEPF53UHTylxmqVjwvhv1yu500i1GOMd9/t/spA7JAZPYELVOvDyBOjNmQpcI1ullQR1u6iCuNAPEXzgMpoqOXzVSnI4UVvyE252DHD5eGMft7RjuZZ8NQM1jhQ8BRMnqpqwHzkUH5+oierolopPB5CzsQqGXcy7OXBuXSxMxOK/yL7PjTx97spYZNNLbcKQHDt/Z/CPaieYMi13oLucXEJLmbEJeta68hMPfysYmLF+gWfgoM3nbW4GGLc18PQ==\'/><input type=\'submit\' value=\'ok\' style=\'display:none;\'\'></form><script>document.forms[\'alipaysubmit\'].submit();</script>'
2017-08-04 22:57:32  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858651975151","total_amount":"100","timeout_express":"1m"}
2017-08-04 22:57:32  response: '<form id=\'alipaysubmit\' name=\'alipaysubmit\' action=\'https://openapi.alipay.com/gateway.do?charset=UTF-8\' method=\'POST\'><input type=\'hidden\' name=\'biz_content\' value=\'{"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858651975151","total_amount":"100","timeout_express":"1m"}\'/><input type=\'hidden\' name=\'app_id\' value=\'2017022705923867\'/><input type=\'hidden\' name=\'version\' value=\'1.0\'/><input type=\'hidden\' name=\'format\' value=\'json\'/><input type=\'hidden\' name=\'sign_type\' value=\'RSA2\'/><input type=\'hidden\' name=\'method\' value=\'alipay.trade.wap.pay\'/><input type=\'hidden\' name=\'timestamp\' value=\'2017-08-04 22:57:32\'/><input type=\'hidden\' name=\'alipay_sdk\' value=\'alipay-sdk-php-20161101\'/><input type=\'hidden\' name=\'notify_url\' value=\'http://baidu.com/alipay.trade.wap.pay-PHP-UTF-8/notify_url.php\'/><input type=\'hidden\' name=\'return_url\' value=\'http://mitsein.com/alipay.trade.wap.pay-PHP-UTF-8/return_url.php\'/><input type=\'hidden\' name=\'charset\' value=\'UTF-8\'/><input type=\'hidden\' name=\'sign\' value=\'QDt3IWh2nOwc+f9pwQVWlmrLZIWSi6xPWKPeuCdLSGQc9wD/R0n2DP6kz9oDtohJalvJ010CeumUuy/CvBLkByBH5wFwCh113hGRrE8ppcoA2N2zJyiugpiCyVyvHPIX+ja9TJANyWGURuT6u11VOu7fNTv9tzQgzXjjJBJyL9cijl5JZMzt1Y9L4SPti+t56dJ3pOEitwZrHxdw5HduJPrKpVOdOkF4/70Cb6lO6lMOokqJUaT/npTBdDS0MetYwwRy/y/H9kXyvn52d1+lps536bmsDVW+4BaCr/YsDlYUd86r9WPjU4dD//Zz71YeeGdnw5U2EVS14R/1f4DB1A==\'/><input type=\'submit\' value=\'ok\' style=\'display:none;\'\'></form><script>document.forms[\'alipaysubmit\'].submit();</script>'
2017-08-04 22:58:17  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858696830132","total_amount":"100","timeout_express":"1m"}
2017-08-04 22:58:17  response: '<form id=\'alipaysubmit\' name=\'alipaysubmit\' action=\'https://openapi.alipay.com/gateway.do?charset=UTF-8\' method=\'POST\'><input type=\'hidden\' name=\'biz_content\' value=\'{"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858696830132","total_amount":"100","timeout_express":"1m"}\'/><input type=\'hidden\' name=\'app_id\' value=\'2017022705923867\'/><input type=\'hidden\' name=\'version\' value=\'1.0\'/><input type=\'hidden\' name=\'format\' value=\'json\'/><input type=\'hidden\' name=\'sign_type\' value=\'RSA2\'/><input type=\'hidden\' name=\'method\' value=\'alipay.trade.wap.pay\'/><input type=\'hidden\' name=\'timestamp\' value=\'2017-08-04 22:58:17\'/><input type=\'hidden\' name=\'alipay_sdk\' value=\'alipay-sdk-php-20161101\'/><input type=\'hidden\' name=\'notify_url\' value=\'http://baidu.com/alipay.trade.wap.pay-PHP-UTF-8/notify_url.php\'/><input type=\'hidden\' name=\'return_url\' value=\'http://mitsein.com/alipay.trade.wap.pay-PHP-UTF-8/return_url.php\'/><input type=\'hidden\' name=\'charset\' value=\'UTF-8\'/><input type=\'hidden\' name=\'sign\' value=\'aHbz7/wl0Y8O5rjAVMh5lenNnWYbNG93lCV/NeJaV+zdLZO6Fbjp3NUMNeOX3GHGoLZh+QpZ5dYHG/FTUN7EB5APro/gV5DHlTfICplW4V+eplmcMd4Vgamfq9WhysRLJcpQ6ArESoolU/CgMlX2QpjrM79sjjq+wdfUde6x/Q57CDB+gOtdr+dKUTbTz/oz0sfnW6nqL4ZIAnUNLaIlt6ie0lExYB8OXEBh3MpMJe4yQZ5kBW2a+7YlVIj/1H/6Yhz5w8fe5BEvMGCGR5wCYwKA2Bmk+FcsmZWhArPRK+ffraT3p+TZhsLVXFS6CjxtzFZx+dNumZvHQSLdbaYmHQ==\'/><input type=\'submit\' value=\'ok\' style=\'display:none;\'\'></form><script>document.forms[\'alipaysubmit\'].submit();</script>'
2017-08-04 22:58:43  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858723485785","total_amount":"100","timeout_express":"1m"}
2017-08-04 22:58:43  response: '<form id=\'alipaysubmit\' name=\'alipaysubmit\' action=\'https://openapi.alipay.com/gateway.do?charset=UTF-8\' method=\'POST\'><input type=\'hidden\' name=\'biz_content\' value=\'{"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858723485785","total_amount":"100","timeout_express":"1m"}\'/><input type=\'hidden\' name=\'app_id\' value=\'2017022705923867\'/><input type=\'hidden\' name=\'version\' value=\'1.0\'/><input type=\'hidden\' name=\'format\' value=\'json\'/><input type=\'hidden\' name=\'sign_type\' value=\'RSA2\'/><input type=\'hidden\' name=\'method\' value=\'alipay.trade.wap.pay\'/><input type=\'hidden\' name=\'timestamp\' value=\'2017-08-04 22:58:43\'/><input type=\'hidden\' name=\'alipay_sdk\' value=\'alipay-sdk-php-20161101\'/><input type=\'hidden\' name=\'notify_url\' value=\'http://baidu.com/alipay.trade.wap.pay-PHP-UTF-8/notify_url.php\'/><input type=\'hidden\' name=\'return_url\' value=\'http://mitsein.com/alipay.trade.wap.pay-PHP-UTF-8/return_url.php\'/><input type=\'hidden\' name=\'charset\' value=\'UTF-8\'/><input type=\'hidden\' name=\'sign\' value=\'pEk4VzNWLoAQF2nP2IqRj/nCKe2R76O+4CnurYBdeIWxwXo7dq65OmDsM3I0rZt9gSUgltaglQgfS1EyCCDAh8PDbu5er59uomVreGJDMX+oDhZ+7tUBwMzLESEfpJzDx10mxJ1fh+/Q9qwF7xqMNswa0FYh91Ebb6z8QXVVeimIb0m6YfgVP9osz/WZWkE4KMjxEzAfhVUc3hZvwUmshv12WXNnvxcpNuQ4BCd4tH+wWl7bZS3962k44jAQwMSoxWb02OYSskIV6bAqFT/fN1NxESe51o6TOpx0bp5EMZG3zH4S/MyxKU0MUtS7ZvbXTRslv2coVXcCL61f8wHGiA==\'/><input type=\'submit\' value=\'ok\' style=\'display:none;\'\'></form><script>document.forms[\'alipaysubmit\'].submit();</script>'
2017-08-04 23:02:43  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858963485107","total_amount":"100","timeout_express":"1m"}
2017-08-04 23:03:27  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501859007819959","total_amount":"100","timeout_express":"1m"}
2017-08-04 23:03:28  response: '<form id=\'alipaysubmit\' name=\'alipaysubmit\' action=\'https://openapi.alipay.com/gateway.do?charset=UTF-8\' method=\'POST\'><input type=\'hidden\' name=\'biz_content\' value=\'{"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501859007819959","total_amount":"100","timeout_express":"1m"}\'/><input type=\'hidden\' name=\'app_id\' value=\'2017022705923867\'/><input type=\'hidden\' name=\'version\' value=\'1.0\'/><input type=\'hidden\' name=\'format\' value=\'json\'/><input type=\'hidden\' name=\'sign_type\' value=\'RSA2\'/><input type=\'hidden\' name=\'method\' value=\'alipay.trade.wap.pay\'/><input type=\'hidden\' name=\'timestamp\' value=\'2017-08-04 23:03:27\'/><input type=\'hidden\' name=\'alipay_sdk\' value=\'alipay-sdk-php-20161101\'/><input type=\'hidden\' name=\'notify_url\' value=\'http://baidu.com/alipay.trade.wap.pay-PHP-UTF-8/notify_url.php\'/><input type=\'hidden\' name=\'return_url\' value=\'http://mitsein.com/alipay.trade.wap.pay-PHP-UTF-8/return_url.php\'/><input type=\'hidden\' name=\'charset\' value=\'UTF-8\'/><input type=\'hidden\' name=\'sign\' value=\'4PLSMKmFkYmmGR58GPMGnFzNvPglo89h8kjQVxSiWIshKpwU0lSvmuaH1vdI0bmkhyjskOvr22Qea+iyZlxozBvOdDHtFpui86LHMbUIBUNKTROxfCuPrrgaig1asrGLIlHvCuQzNPmcgcGuQB+bqs0q5ieWBeIf6w/8eE3d+63IdCnp3X9ZutD6WmMKfWl7Qrbtlt/uN1it4w9KT2m1sorJbwPdy821aLEqs5LPJh/nR5aFJ2wDV0NIIjNvJe/K94j+RY1Vf7CS94R7yZXtoRBxypLnMZLzG6E0T+UGVcQJ0LViln7iLE9UHOsMMiMsJBMTdr9kD9xi1N2gB1u3GA==\'/><input type=\'submit\' value=\'ok\' style=\'display:none;\'\'></form><script>document.forms[\'alipaysubmit\'].submit();</script>'
2017-08-04 23:04:45  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501859085217746","total_amount":"100","timeout_express":"1m"}
2017-08-04 23:04:45  response: '<form id=\'alipaysubmit\' name=\'alipaysubmit\' action=\'https://openapi.alipay.com/gateway.do?charset=UTF-8\' method=\'POST\'><input type=\'hidden\' name=\'biz_content\' value=\'{"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501859085217746","total_amount":"100","timeout_express":"1m"}\'/><input type=\'hidden\' name=\'app_id\' value=\'2017022705923867\'/><input type=\'hidden\' name=\'version\' value=\'1.0\'/><input type=\'hidden\' name=\'format\' value=\'json\'/><input type=\'hidden\' name=\'sign_type\' value=\'RSA2\'/><input type=\'hidden\' name=\'method\' value=\'alipay.trade.wap.pay\'/><input type=\'hidden\' name=\'timestamp\' value=\'2017-08-04 23:04:45\'/><input type=\'hidden\' name=\'alipay_sdk\' value=\'alipay-sdk-php-20161101\'/><input type=\'hidden\' name=\'notify_url\' value=\'http://baidu.com/alipay.trade.wap.pay-PHP-UTF-8/notify_url.php\'/><input type=\'hidden\' name=\'return_url\' value=\'http://mitsein.com/alipay.trade.wap.pay-PHP-UTF-8/return_url.php\'/><input type=\'hidden\' name=\'charset\' value=\'UTF-8\'/><input type=\'hidden\' name=\'sign\' value=\'Sy7CIykjLZkSo+aMqQZtbJFxW+3jO6d57L0MZgOc4dnT+XYAGFC9cFnYdUFeyXumneah4egdq9655xyaY+XUz/tTdRj3oH5u/NcrsCNl0Vw7cuxUm/yLBJBRiAnCzOUFch1Ly6734KYjc2Q/KvGvux5zHdFGBrahnGuexb/YltX8hjPzaGdtUiKB2sIoFffJ5M/1P9to9e88QvZ5RHBgEwwH2ZESIWnURgn7wm9z27mJSx8yYuqBZDRN4ElI02VS+vmvSsLX3QJ5dOQp/jfeANO43+8SMNCmZs/nyeB19zHYid3GjWC6vxqcHeKiLfbiWzieTFlNrZ2Y83Kdei1Daw==\'/><input type=\'submit\' value=\'ok\' style=\'display:none;\'\'></form><script>document.forms[\'alipaysubmit\'].submit();</script>'
